delta_emvr,delta_auroc,delta_aurc,delta_brier
-0.05539772727272724,0.018419380009198072,-5.526228061752958e-05,-0.03645777982019749
-0.03267045454545453,0.010813687348554146,-0.012935976038644492,-0.009552379874082195
-0.026988636363636354,0.032571354772052086,-0.02892278546819932,-0.03549972232256171
-0.028409090909090884,0.00928152126397308,-0.00868976362166779,-0.013219568701801243
-0.06107954545454547,-0.009677887932599827,-0.002103476759350742,0.010463690235985867
-0.026988636363636354,0.022002583979328083,-0.023272338783900837,-0.021340605476331487
-0.05681818181818182,0.004161414312578771,0.0038978351424415747,-0.016573058974067967
-0.028409090909090884,0.015086700389267071,-0.01831803488427347,-0.018911788621467973
-0.05681818181818182,0.015487518103810771,-0.023889024615905086,-0.012857123470398912
-0.05255681818181818,0.029484080249591926,-0.02088444782330967,-0.03119381526065712
-0.045454545454545414,0.025430311315478793,-0.015070536395359657,-0.007643506804918099
-0.07244318181818182,0.004203790659508599,-0.013911759884501773,-0.008738080870551446
-0.051136363636363646,0.01822140492068336,-0.016179640806631257,-0.008976252174130728
-0.058238636363636354,0.012013044103777348,-0.023380091439062056,-0.015582953610783046
-0.046875,-0.005193725174200359,-0.020100765577278468,-0.0074859975598342565
-0.046875,0.0018070309933194695,-0.005040788172099686,-0.009963081792756456
-0.0625,-0.013011642267684254,0.014366916029292742,-0.0010070122994254027
-0.022727272727272707,0.017412742468174924,-0.0041153912764611,-0.019158753188397604
-0.03267045454545453,0.01067361935094413,-0.022046790260613514,-0.01971074527102623
-0.02840909090909094,0.036987718164188665,-0.03229228615880564,-0.026428656480845025
-0.024147727272727237,0.005454385501891479,-0.004398602739533741,-0.009645191809699416
-0.046875,-0.006176258936938073,-0.0017770480578839232,0.004748082119470198
-0.042613636363636354,0.034826611491658443,-0.033472681664389214,-0.020043146071734186
-0.04829545454545453,0.029417541973368655,-0.03414231594829353,-0.03080250442847876
-0.042613636363636354,0.018718517551872593,-0.013109620106061648,-0.013088328189915677
-0.05397727272727276,0.048705882352941265,-0.042668965996462416,-0.034166392015130775
-0.05397727272727276,0.007313371764791188,-0.010660200796086539,-0.007559095452472908
-0.05681818181818182,0.016054820582016238,-0.007232137901929003,-0.010645229327358063
-0.05681818181818182,-0.007299610411140578,0.008999766233063644,-0.006678948940605278
-0.009943181818181823,0.02975493476078961,-0.02885638551880504,-0.024342410153658567
-0.012784090909090884,0.036712861658157236,-0.023329165779486793,-0.04655918710326712
-0.05823863636363641,0.029367096454252395,-0.02131125141234408,-0.026599998810131864
-0.06392045454545453,0.016376887952230357,-0.025501321396010468,-0.013446680481298712
-0.034090909090909116,0.037016910724685936,-0.040018895474910554,-0.03479362254024376
-0.04545454545454547,0.05765269151138708,-0.04882315402493781,-0.04082494674880921
-0.04119318181818182,0.028079105689795214,-0.0027923293585882525,-0.04138783156410941
-0.022727272727272763,-0.006312717511743671,-0.0012178749753842255,-0.006180502117447584
-0.058238636363636354,-0.00011184460362778648,-7.425165124369526e-05,0.003642031226703202
-0.051136363636363646,0.02670279642232365,-0.009898007111590335,-0.007508542211723757
-0.06534090909090912,0.011770084304488004,-0.0052738354993139835,0.0023061458906742383
-0.044034090909090884,-0.005069757591723234,-0.004454605202286188,-0.0016661382352217702
-0.03977272727272729,0.03353785791802333,-0.03789372412971087,-0.02095003986664995
-0.05681818181818182,0.01594282430536509,-0.019679005508222047,-0.013636422822634053
-0.03835227272727271,-0.021906522504608783,0.011270958733125669,-0.006666558614375984
-0.035511363636363646,0.017479208043694183,-0.015000558231773764,-0.027951025657387885
-0.03977272727272729,-0.0056784018577262785,0.023676661911414487,0.0015534651698514979
-0.04403409090909094,0.0037453183520598232,-0.008658437342942638,-0.0033293292371493477
-0.04119318181818182,0.0031862999481058196,-0.014005927863761036,-0.010788615862195428
-0.03835227272727271,0.011775905958318678,-0.0204037115074438,-0.005290259439131362
